time,Replicates,Counts,Treatment,Type 
0,A,100000,low_density,cocultures
0,B,100000,low_density,cocultures
0,C,100000,low_density,cocultures
0,D,1000000,mid_density,cocultures
0,E,1000000,mid_density,cocultures
0,F,1000000,mid_density,cocultures
0,G,10000000,high_density,cocultures
0,H,10000000,high_density,cocultures
0,I,10000000,high_density,cocultures
0,J,100000,low_density,monoculture
0,K,100000,low_density,monoculture
0,L,100000,low_density,monoculture
0,M,1000000,mid_density,monoculture
0,N,1000000,mid_density,monoculture
0,O,1000000,mid_density,monoculture
0,P,10000000,high_density,monoculture
0,Q,10000000,high_density,monoculture
0,R,10000000,high_density,monoculture
4,A,3600000,low_density,cocultures
4,B,4200000,low_density,cocultures
4,C,2850000,low_density,cocultures
4,D,350000,mid_density,cocultures
4,E,200000,mid_density,cocultures
4,F,450000,mid_density,cocultures
4,G,2100000,high_density,cocultures
4,H,2550000,high_density,cocultures
4,I,2400000,high_density,cocultures
4,J,45000,low_density,monoculture
4,K,130000,low_density,monoculture
4,L,170000,low_density,monoculture
4,M,105000,mid_density,monoculture
4,N,65000,mid_density,monoculture
4,O,105000,mid_density,monoculture
4,P,620000,high_density,monoculture
4,Q,535000,high_density,monoculture
4,R,430000,high_density,monoculture
6,A,6.00E+05,low_density,cocultures
6,B,0.00E+00,low_density,cocultures
6,C,1.10E+06,low_density,cocultures
6,D,3.00E+05,mid_density,cocultures
6,E,7.50E+05,mid_density,cocultures
6,F,2.00E+05,mid_density,cocultures
6,G,6.00E+05,high_density,cocultures
6,H,4.00E+05,high_density,cocultures
6,I,4.50E+05,high_density,cocultures
6,J,4.00E+04,low_density,monoculture
6,K,3.70E+04,low_density,monoculture
6,L,5.05E+04,low_density,monoculture
6,M,3.00E+04,mid_density,monoculture
6,N,5.00E+03,mid_density,monoculture
6,O,1.50E+04,mid_density,monoculture
6,P,5.00E+04,high_density,monoculture
6,Q,3.00E+04,high_density,monoculture
6,R,3.50E+04,high_density,monoculture
8,A,4.65E+05,low_density,cocultures
8,B,5.15E+05,low_density,cocultures
8,C,1.55E+05,low_density,cocultures
8,D,3.70E+05,mid_density,cocultures
8,E,2.20E+05,mid_density,cocultures
8,F,9.00E+04,mid_density,cocultures
8,G,3.80E+05,high_density,cocultures
8,H,1.60E+05,high_density,cocultures
8,I,1.05E+05,high_density,cocultures
8,J,1.02E+05,low_density,monoculture
8,K,8.60E+04,low_density,monoculture
8,L,1.10E+05,low_density,monoculture
8,M,1.66E+05,mid_density,monoculture
8,N,1.55E+05,mid_density,monoculture
8,O,2.21E+05,mid_density,monoculture
8,P,1.35E+05,high_density,monoculture
8,Q,1.50E+05,high_density,monoculture
8,R,1.56E+05,high_density,monoculture
12,A,2.33E+06,low_density,cocultures
12,B,2.29E+06,low_density,cocultures
12,C,2.43E+06,low_density,cocultures
12,D,2.28E+06,mid_density,cocultures
12,E,4.74E+06,mid_density,cocultures
12,F,2.87E+06,mid_density,cocultures
12,G,3.75E+06,high_density,cocultures
12,H,3.54E+06,high_density,cocultures
12,I,2.65E+06,high_density,cocultures
12,J,6.60E+04,low_density,monoculture
12,K,7.30E+04,low_density,monoculture
12,L,6.60E+04,low_density,monoculture
12,M,5.90E+04,mid_density,monoculture
12,N,4.75E+04,mid_density,monoculture
12,O,7.70E+04,mid_density,monoculture
12,P,9.50E+04,high_density,monoculture
12,Q,9.30E+04,high_density,monoculture
12,R,1.00E+05,high_density,monoculture
