"","time",".y.","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"1","Week_0","score","b12","high_density",3,3,0.184,1,"ns"
"2","Week_0","score","b12","low_density",3,3,0.296,1,"ns"
"3","Week_0","score","b12","mid_density",3,3,0.423,1,"ns"
"4","Week_0","score","b12","no_b12",3,3,0.805,1,"ns"
"5","Week_0","score","high_density","low_density",3,3,0.676,1,"ns"
"6","Week_0","score","high_density","mid_density",3,3,0.423,1,"ns"
"7","Week_0","score","high_density","no_b12",3,3,0.844,1,"ns"
"8","Week_0","score","low_density","mid_density",3,3,0.37,1,"ns"
"9","Week_0","score","low_density","no_b12",3,3,0.662,1,"ns"
"10","Week_0","score","mid_density","no_b12",3,3,0.997,1,"ns"
"11","Week_1","score","b12","high_density",3,3,0.996,1,"ns"
"12","Week_1","score","b12","low_density",3,3,0.885,1,"ns"
"13","Week_1","score","b12","mid_density",3,3,0.722,1,"ns"
"14","Week_1","score","b12","no_b12",3,3,0.529,1,"ns"
"15","Week_1","score","high_density","low_density",3,3,0.907,1,"ns"
"16","Week_1","score","high_density","mid_density",3,3,0.641,1,"ns"
"17","Week_1","score","high_density","no_b12",3,3,0.739,1,"ns"
"18","Week_1","score","low_density","mid_density",3,3,0.727,1,"ns"
"19","Week_1","score","low_density","no_b12",3,3,0.874,1,"ns"
"20","Week_1","score","mid_density","no_b12",3,3,0.265,1,"ns"
"21","Week_12","score","b12","high_density",3,3,0.12,1,"ns"
"22","Week_12","score","b12","low_density",3,3,0.189,1,"ns"
"23","Week_12","score","b12","mid_density",3,3,0.065,0.65,"ns"
"24","Week_12","score","b12","no_b12",3,3,0.001,0.012,"*"
"25","Week_12","score","high_density","low_density",3,3,0.437,1,"ns"
"26","Week_12","score","high_density","mid_density",3,3,0.438,1,"ns"
"27","Week_12","score","high_density","no_b12",3,3,0.036,0.362,"ns"
"28","Week_12","score","low_density","mid_density",3,3,0.297,1,"ns"
"29","Week_12","score","low_density","no_b12",3,3,0.022,0.221,"ns"
"30","Week_12","score","mid_density","no_b12",3,3,0.021,0.207,"ns"
"31","Week_2","score","b12","high_density",3,3,0.809,1,"ns"
"32","Week_2","score","b12","low_density",3,3,0.529,1,"ns"
"33","Week_2","score","b12","mid_density",3,3,0.433,1,"ns"
"34","Week_2","score","b12","no_b12",3,3,0.956,1,"ns"
"35","Week_2","score","high_density","low_density",3,3,0.848,1,"ns"
"36","Week_2","score","high_density","mid_density",3,3,0.899,1,"ns"
"37","Week_2","score","high_density","no_b12",3,3,0.959,1,"ns"
"38","Week_2","score","low_density","mid_density",3,3,0.729,1,"ns"
"39","Week_2","score","low_density","no_b12",3,3,0.8,1,"ns"
"40","Week_2","score","mid_density","no_b12",3,3,0.887,1,"ns"
"41","Week_3","score","b12","high_density",3,3,0.013,0.134,"ns"
"42","Week_3","score","b12","low_density",3,3,0.26,1,"ns"
"43","Week_3","score","b12","mid_density",3,3,0.172,1,"ns"
"44","Week_3","score","b12","no_b12",3,3,0.572,1,"ns"
"45","Week_3","score","high_density","low_density",3,3,0.607,1,"ns"
"46","Week_3","score","high_density","mid_density",3,3,0.673,1,"ns"
"47","Week_3","score","high_density","no_b12",3,3,0.119,1,"ns"
"48","Week_3","score","low_density","mid_density",3,3,0.704,1,"ns"
"49","Week_3","score","low_density","no_b12",3,3,0.251,1,"ns"
"50","Week_3","score","mid_density","no_b12",3,3,0.062,0.619,"ns"
"51","Week_4","score","b12","high_density",3,3,0.205,1,"ns"
"52","Week_4","score","b12","low_density",3,3,0.572,1,"ns"
"53","Week_4","score","b12","mid_density",3,3,0.446,1,"ns"
"54","Week_4","score","b12","no_b12",3,3,0.599,1,"ns"
"55","Week_4","score","high_density","low_density",3,3,0.407,1,"ns"
"56","Week_4","score","high_density","mid_density",3,3,0.168,1,"ns"
"57","Week_4","score","high_density","no_b12",3,3,0.178,1,"ns"
"58","Week_4","score","low_density","mid_density",3,3,1,1,"ns"
"59","Week_4","score","low_density","no_b12",3,3,0.133,1,"ns"
"60","Week_4","score","mid_density","no_b12",3,3,0.208,1,"ns"
"61","Week_5","score","b12","high_density",3,3,0.428,1,"ns"
"62","Week_5","score","b12","low_density",3,3,0.185,1,"ns"
"63","Week_5","score","b12","mid_density",3,3,0.811,1,"ns"
"64","Week_5","score","b12","no_b12",3,3,0.548,1,"ns"
"65","Week_5","score","high_density","low_density",3,3,0.015,0.148,"ns"
"66","Week_5","score","high_density","mid_density",3,3,0.628,1,"ns"
"67","Week_5","score","high_density","no_b12",3,3,0.224,1,"ns"
"68","Week_5","score","low_density","mid_density",3,3,0.602,1,"ns"
"69","Week_5","score","low_density","no_b12",3,3,0.128,1,"ns"
"70","Week_5","score","mid_density","no_b12",3,3,0.879,1,"ns"
"71","Week_6","score","b12","high_density",3,3,0.591,1,"ns"
"72","Week_6","score","b12","low_density",3,3,0.341,1,"ns"
"73","Week_6","score","b12","mid_density",3,3,0.808,1,"ns"
"74","Week_6","score","b12","no_b12",3,3,0.256,1,"ns"
"75","Week_6","score","high_density","low_density",3,3,0.558,1,"ns"
"76","Week_6","score","high_density","mid_density",3,3,0.413,1,"ns"
"77","Week_6","score","high_density","no_b12",3,3,0.064,0.644,"ns"
"78","Week_6","score","low_density","mid_density",3,3,0.03,0.301,"ns"
"79","Week_6","score","low_density","no_b12",3,3,0.068,0.685,"ns"
"80","Week_6","score","mid_density","no_b12",3,3,0.173,1,"ns"
"81","Week_7","score","b12","high_density",3,3,0.159,1,"ns"
"82","Week_7","score","b12","low_density",3,3,0.606,1,"ns"
"83","Week_7","score","b12","mid_density",3,3,0.578,1,"ns"
"84","Week_7","score","b12","no_b12",3,3,0.018,0.184,"ns"
"85","Week_7","score","high_density","low_density",3,3,0.089,0.886,"ns"
"86","Week_7","score","high_density","mid_density",3,3,0.107,1,"ns"
"87","Week_7","score","high_density","no_b12",3,3,0.018,0.177,"ns"
"88","Week_7","score","low_density","mid_density",3,3,0.48,1,"ns"
"89","Week_7","score","low_density","no_b12",3,3,0.038,0.38,"ns"
"90","Week_7","score","mid_density","no_b12",3,3,0.066,0.657,"ns"
